ID,Name,Age,Photo,Nationality,Flag,Overall,Potential,Club,Club Logo,Value,Wage,Special,Preferred Foot,International Reputation,Weak Foot,Skill Moves,Work Rate,Body Type,Real Face,Position,Jersey Number,Joined,Contract Valid Until,Height,Weight,Crossing,Finishing,HeadingAccuracy,ShortPassing,Volleys,Dribbling,Curve,FKAccuracy,LongPassing,BallControl,Acceleration,SprintSpeed,Agility,Reactions,Balance,ShotPower,Jumping,Stamina,Strength,LongShots,Aggression,Interceptions,Positioning,Vision,Penalties,Composure,StandingTackle,SlidingTackle,GKDiving,GKHandling,GKKicking,GKPositioning,GKReflexes,Best Position,Best Overall Rating,Release Clause,DefensiveAwareness,Position_Group
212198,Bruno Fernandes,26,https://cdn.sofifa.com/players/212/198/22_60.png,Portugal,https://cdn.sofifa.com/flags/pt.png,88,89,Manchester United,https://cdn.sofifa.com/teams/11/30.png,107500000.0,250000,2341,Right,3.0,3.0,4.0,High/ High,Unique,Yes,CAM,18.0,"Jan 30, 2020",2025,179,69,87.0,83.0,64.0,91.0,87.0,83.0,87.0,87.0,88.0,87.0,77.0,73.0,80.0,91.0,79.0,89.0,73.0,91.0,70.0,89.0,78.0,66.0,87.0,90.0,91.0,87.0,73.0,65.0,12.0,14.0,15.0,8.0,14.0,CAM,88.0,206900000.0,72.0,MIDFIELDER
209658,L. Goretzka,26,https://cdn.sofifa.com/players/209/658/22_60.png,Germany,https://cdn.sofifa.com/flags/de.png,87,88,FC Bayern München,https://cdn.sofifa.com/teams/21/30.png,93000000.0,140000,2314,Right,4.0,4.0,3.0,High/ Medium,Unique,Yes,LDM,8.0,"Jul 1, 2018",2026,189,82,75.0,82.0,86.0,86.0,69.0,84.0,76.0,75.0,84.0,87.0,78.0,83.0,76.0,88.0,71.0,85.0,79.0,88.0,88.0,86.0,81.0,86.0,85.0,84.0,60.0,82.0,85.0,77.0,13.0,8.0,15.0,11.0,9.0,CM,87.0,160400000.0,74.0,MIDFIELDER
176580,L. Suárez,34,https://cdn.sofifa.com/players/176/580/22_60.png,Uruguay,https://cdn.sofifa.com/flags/uy.png,88,88,Atlético de Madrid,https://cdn.sofifa.com/teams/240/30.png,44500000.0,135000,2307,Right,5.0,4.0,3.0,High/ Medium,Unique,Yes,RS,9.0,"Sep 25, 2020",2022,182,83,80.0,93.0,84.0,83.0,90.0,83.0,86.0,82.0,77.0,86.0,76.0,69.0,75.0,92.0,78.0,89.0,69.0,78.0,85.0,88.0,87.0,41.0,91.0,84.0,83.0,87.0,45.0,38.0,27.0,25.0,31.0,33.0,37.0,ST,88.0,91200000.0,42.0,FORWARD
192985,K. De Bruyne,30,https://cdn.sofifa.com/players/192/985/22_60.png,Belgium,https://cdn.sofifa.com/flags/be.png,91,91,Manchester City,https://cdn.sofifa.com/teams/10/30.png,125500000.0,350000,2304,Right,4.0,5.0,4.0,High/ High,Unique,Yes,RCM,17.0,"Aug 30, 2015",2025,181,70,94.0,82.0,55.0,94.0,82.0,88.0,85.0,83.0,93.0,91.0,76.0,76.0,79.0,91.0,78.0,91.0,63.0,89.0,74.0,91.0,76.0,66.0,88.0,94.0,83.0,89.0,65.0,53.0,15.0,13.0,5.0,10.0,13.0,CM,91.0,232200000.0,68.0,MIDFIELDER
224334,M. Acuña,29,https://cdn.sofifa.com/players/224/334/22_60.png,Argentina,https://cdn.sofifa.com/flags/ar.png,84,84,Sevilla FC,https://cdn.sofifa.com/teams/481/30.png,37000000.0,45000,2292,Left,2.0,3.0,4.0,High/ High,Stocky (170-185),No,LB,19.0,"Sep 14, 2020",2024,172,69,87.0,66.0,58.0,82.0,68.0,87.0,88.0,75.0,78.0,88.0,77.0,76.0,83.0,83.0,90.0,82.0,63.0,90.0,80.0,81.0,84.0,79.0,81.0,82.0,76.0,87.0,84.0,82.0,8.0,14.0,13.0,13.0,14.0,LB,84.0,77700000.0,80.0,DEFENDER
212622,J. Kimmich,26,https://cdn.sofifa.com/players/212/622/22_60.png,Germany,https://cdn.sofifa.com/flags/de.png,89,90,FC Bayern München,https://cdn.sofifa.com/teams/21/30.png,108000000.0,160000,2283,Right,4.0,4.0,3.0,High/ Medium,Lean (170-185),Yes,RDM,6.0,"Jul 1, 2015",2025,177,75,91.0,68.0,72.0,87.0,69.0,83.0,85.0,61.0,90.0,85.0,77.0,65.0,84.0,88.0,84.0,78.0,79.0,94.0,68.0,84.0,89.0,84.0,80.0,85.0,44.0,85.0,85.0,79.0,8.0,15.0,7.0,15.0,15.0,CDM,89.0,186300000.0,85.0,MIDFIELDER
187961,Paulinho,32,https://cdn.sofifa.com/players/187/961/22_60.png,Brazil,https://cdn.sofifa.com/flags/br.png,83,83,Al Ahli,https://cdn.sofifa.com/teams/112387/30.png,28500000.0,61000,2273,Right,3.0,4.0,4.0,High/ High,Normal (170-185),Yes,LCM,15.0,"Jul 22, 2021",2024,183,80,67.0,83.0,85.0,82.0,75.0,82.0,66.0,75.0,76.0,83.0,73.0,71.0,72.0,82.0,85.0,83.0,92.0,91.0,82.0,80.0,81.0,80.0,83.0,82.0,71.0,81.0,79.0,75.0,16.0,16.0,11.0,6.0,8.0,CM,83.0,48500000.0,80.0,MIDFIELDER
181291,G. Wijnaldum,30,https://cdn.sofifa.com/players/181/291/22_60.png,Netherlands,https://cdn.sofifa.com/flags/nl.png,84,84,Paris Saint-Germain,https://cdn.sofifa.com/teams/73/30.png,40500000.0,115000,2271,Right,3.0,4.0,4.0,High/ High,Unique,Yes,SUB,18.0,"Jul 1, 2021",2024,175,74,72.0,75.0,78.0,87.0,73.0,85.0,78.0,73.0,81.0,88.0,78.0,76.0,84.0,86.0,88.0,78.0,81.0,93.0,74.0,73.0,75.0,80.0,79.0,79.0,74.0,86.0,80.0,70.0,16.0,6.0,14.0,12.0,6.0,CM,84.0,74900000.0,79.0,SUB
208333,E. Can,27,https://cdn.sofifa.com/players/208/333/22_60.png,Germany,https://cdn.sofifa.com/flags/de.png,82,83,Borussia Dortmund,https://cdn.sofifa.com/teams/22/30.png,35000000.0,72000,2270,Right,3.0,4.0,3.0,Medium/ High,Stocky (185+),Yes,SUB,23.0,"Feb 18, 2020",2024,186,86,69.0,76.0,82.0,83.0,71.0,82.0,77.0,64.0,83.0,79.0,67.0,87.0,72.0,81.0,75.0,85.0,87.0,88.0,86.0,81.0,88.0,84.0,76.0,79.0,60.0,79.0,87.0,86.0,14.0,8.0,8.0,13.0,11.0,CDM,85.0,62100000.0,81.0,SUB
177003,L. Modrić,35,https://cdn.sofifa.com/players/177/003/22_60.png,Croatia,https://cdn.sofifa.com/flags/hr.png,87,87,Real Madrid CF,https://cdn.sofifa.com/teams/243/30.png,32000000.0,190000,2253,Right,4.0,4.0,4.0,Medium/ Medium,Lean (170-185),Yes,RCM,10.0,"Aug 1, 2012",2022,172,66,86.0,72.0,55.0,91.0,76.0,85.0,85.0,78.0,89.0,90.0,76.0,70.0,91.0,88.0,92.0,79.0,67.0,83.0,58.0,82.0,62.0,80.0,78.0,90.0,82.0,92.0,75.0,71.0,13.0,9.0,7.0,14.0,9.0,CM,87.0,65599999.99999999,70.0,MIDFIELDER
226161,Marcos Llorente,26,https://cdn.sofifa.com/players/226/161/22_60.png,Spain,https://cdn.sofifa.com/flags/es.png,86,89,Atlético de Madrid,https://cdn.sofifa.com/teams/240/30.png,88000000.0,95000,2252,Right,3.0,4.0,3.0,High/ Medium,Lean (170-185),Yes,RM,14.0,"Jul 1, 2019",2027,184,74,74.0,81.0,67.0,86.0,64.0,82.0,73.0,58.0,83.0,84.0,86.0,90.0,82.0,86.0,69.0,84.0,69.0,90.0,79.0,79.0,83.0,82.0,87.0,86.0,64.0,83.0,80.0,74.0,13.0,6.0,6.0,11.0,15.0,CAM,87.0,187000000.0,79.0,MIDFIELDER
155862,Sergio Ramos,35,https://cdn.sofifa.com/players/155/862/22_60.png,Spain,https://cdn.sofifa.com/flags/es.png,88,88,Paris Saint-Germain,https://cdn.sofifa.com/teams/73/30.png,24000000.0,115000,2251,Right,4.0,3.0,3.0,High/ Medium,Unique,Yes,LCB,4.0,"Jul 8, 2021",2023,184,82,66.0,65.0,92.0,82.0,69.0,65.0,74.0,76.0,83.0,83.0,71.0,69.0,77.0,92.0,66.0,79.0,93.0,78.0,84.0,64.0,90.0,87.0,73.0,71.0,92.0,88.0,89.0,91.0,11.0,8.0,9.0,7.0,11.0,CB,88.0,44400000.0,84.0,DEFENDER
197445,D. Alaba,29,https://cdn.sofifa.com/players/197/445/22_60.png,Austria,https://cdn.sofifa.com/flags/at.png,84,84,Real Madrid CF,https://cdn.sofifa.com/teams/243/30.png,35500000.0,195000,2247,Left,4.0,4.0,3.0,Medium/ Medium,Normal (170-185),Yes,LB,4.0,"Jul 1, 2021",2026,180,78,80.0,60.0,74.0,85.0,67.0,77.0,77.0,85.0,80.0,84.0,78.0,77.0,76.0,88.0,77.0,82.0,81.0,75.0,76.0,78.0,74.0,85.0,73.0,78.0,79.0,85.0,83.0,82.0,5.0,7.0,14.0,15.0,9.0,CB,84.0,72800000.0,86.0,DEFENDER
225193,Merino,25,https://cdn.sofifa.com/players/225/193/22_60.png,Spain,https://cdn.sofifa.com/flags/es.png,83,87,Real Sociedad,https://cdn.sofifa.com/teams/457/30.png,50000000.0,47000,2244,Left,1.0,3.0,3.0,High/ High,Normal (185+),Yes,RCM,8.0,"Jul 12, 2018",2025,189,83,77.0,79.0,81.0,84.0,58.0,83.0,80.0,69.0,82.0,84.0,73.0,75.0,76.0,84.0,72.0,84.0,81.0,84.0,79.0,78.0,81.0,84.0,78.0,83.0,58.0,80.0,84.0,76.0,9.0,12.0,9.0,13.0,14.0,CM,85.0,108800000.0,80.0,MIDFIELDER
224232,N. Barella,24,https://cdn.sofifa.com/players/224/232/22_60.png,Italy,https://cdn.sofifa.com/flags/it.png,84,89,Inter,https://cdn.sofifa.com/teams/44/30.png,63500000.0,120000,2236,Right,3.0,3.0,3.0,High/ High,Normal (170-),Yes,RCM,23.0,"Sep 1, 2020",2024,172,68,69.0,69.0,53.0,86.0,75.0,83.0,75.0,67.0,79.0,87.0,80.0,76.0,91.0,89.0,90.0,69.0,78.0,95.0,69.0,72.0,79.0,84.0,83.0,83.0,73.0,85.0,75.0,79.0,11.0,5.0,13.0,14.0,11.0,CM,87.0,112700000.0,74.0,MIDFIELDER
212462,Alex Telles,28,https://cdn.sofifa.com/players/212/462/22_60.png,Brazil,https://cdn.sofifa.com/flags/br.png,82,82,Manchester United,https://cdn.sofifa.com/teams/11/30.png,27500000.0,130000,2235,Left,3.0,2.0,3.0,High/ Medium,Unique,Yes,SUB,27.0,"Oct 5, 2020",2024,181,71,86.0,63.0,68.0,82.0,62.0,77.0,87.0,79.0,81.0,80.0,81.0,84.0,75.0,81.0,70.0,87.0,81.0,85.0,65.0,83.0,76.0,79.0,75.0,78.0,81.0,77.0,78.0,76.0,13.0,8.0,12.0,11.0,14.0,LB,82.0,50900000.0,77.0,SUB
